Step,Stage,Member,Script / Module,Lines,Task Description
1.16,Data Collection & Processing,M2,utils/xml_parser.py,86-565,"Implement CLMLParser class — recursive CLML walker for UK legislation XML (Parts → Chapters → Sections)"
1.17,Data Collection & Processing,M2,utils/xml_parser.py,148-186,"Implement CLMLParser._extract_defined_terms() — parse <Term> elements into defined_terms dict"
1.18,Data Collection & Processing,M2,utils/xml_parser.py,338-450,"Implement CLMLParser._process_section() — extract section text, subsections, commentary refs, block amendments"
1.19,Data Collection & Processing,M2,utils/xml_parser.py,582-682,"Implement parse_caselaw_xml() — AKN namespace parser for court judgment XML"
1.20,Data Collection & Processing,M2,utils/xml_parser.py,707-778,"Implement _ref_to_section_id(), _extract_section_refs() — map Section Ref attributes to chunk IDs"
1.21,Data Collection & Processing,M2,utils/xml_parser.py,781-944,"Implement parse_effects_xml(), _map_effect_type() — parse effects feed into ground-truth amendment triples"
1.22,Data Collection & Processing,M2,utils/xml_parser.py,954-1004,"Implement build_smart_corpus() — unified corpus builder combining legislation, SI, and case law parsers"
1.23,Data Collection & Processing,M2,utils/xml_parser.py,1007-1023,"Implement load_effects_triples() — load all effects triples from amendments directory"
1.24,Data Collection & Processing,M2,utils/normalizers.py,12-83,"Implement normalize_action(), normalize_citation(), extract_act_name() — normalisation utilities"
1.25,Data Collection & Processing,M2,utils/normalizers.py,86-122,"Implement build_abbreviation_table(), build_id_to_title_map() — auto-extract abbreviations and ID-to-title map"
1.26,Data Collection & Processing,M2,utils/normalizers.py,125-144,"Implement extract_matched_glossary() — match glossary terms in text via regex"
1.27,Data Collection & Processing,M2,2_build_corpus_legislation.py,1-62,"Implement main() — build intermediate legislation-only corpus from raw XML"
1.28,Data Collection & Processing,M2,4_build_corpus_final.py,1-48,"Implement main() — merge legislation + case law + effects into final unified corpus"
1.29,Data Collection & Processing,M2,5_build_glossary_summaries.py,1-38,"Define GLOSSARY_FILE path and SYSTEM_PROMPT for LLM-based summarisation"
1.30,Data Collection & Processing,M2,5_build_glossary_summaries.py,39-73,"Implement summarize_term() — call vLLM to summarise a single defined term with retry logic"
1.31,Data Collection & Processing,M2,5_build_glossary_summaries.py,75-120,"Implement corpus loading, term extraction, and existing summary resume logic"
1.32,Data Collection & Processing,M2,5_build_glossary_summaries.py,121-171,"Implement multi-threaded summarisation loop with ThreadPoolExecutor, checkpoint saves, and progress logging"
2.1,KG Creation,M3,config.py,85-97,"Define CANONICAL_ACTIONS list — 17 valid relationship types (AMENDS, CITES, REPEALS, etc.)"
2.2,KG Creation,M3,config.py,98-165,"Define ACTION_NORMALIZER dict — map ~100+ LLM verb variations to canonical action types"
2.3,KG Creation,M3,config.py,171-195,"Define CONCEPTS list — domain-level concept nodes (Transport and Infrastructure, Road Safety, Criminal Justice)"
2.4,KG Creation,M3,llm/prompts.py,1-49,"Design LEGISLATION_PROMPT — system prompt for triple extraction with relationship types, rules, and JSON schema"
2.5,KG Creation,M3,llm/prompts.py,51-82,"Design CASELAW_PROMPT — system prompt for case law triple extraction with judicial action types and citation rules"
2.6,KG Creation,M3,llm/client.py,12-23,"Implement get_vllm_client() — create OpenAI-compatible client pointing at local vLLM server"
2.7,KG Creation,M3,llm/client.py,26-32,"Implement get_query_client() — create OpenAI client for Lightning AI query agent"
2.8,KG Creation,M3,llm/client.py,35-72,"Implement parse_llm_json() — parse JSON from LLM output handling markdown blocks, wrapped dicts, and single objects"
2.9,KG Creation,M3,6_extract_triples.py,1-42,"Script setup — imports, config loading, vLLM connection parameters, batch/checkpoint settings"
2.10,KG Creation,M3,6_extract_triples.py,43-183,"Implement extract_triples() — construct per-chunk prompts with glossary injection, call vLLM, parse JSON response, handle retries"
2.11,KG Creation,M3,6_extract_triples.py,190-246,"Implement post_process() and print_quality_report() — deduplicate triples, re-normalize actions, print action distribution stats"
2.12,KG Creation,M3,6_extract_triples.py,253-357,"Implement main() — orchestrate batch extraction with ThreadPoolExecutor, checkpoint saving, and quality reporting"
2.13,KG Creation,M3,utils/neo4j_client.py,1-73,"Implement get_driver() — Neo4j driver wrapper with connection settings from config.py"
2.14,KG Creation,M3,7_ingest_neo4j.py,41-102,"Implement load_all_triples() and load_corpus_lookup() — load and merge legislation, caselaw, and effects triples with corpus"
2.15,KG Creation,M3,7_ingest_neo4j.py,109-210,"Implement ingest_triples() — create :LegalDoc nodes and :LEGAL_RELATIONSHIP edges with confidence accumulation formula"
2.16,KG Creation,M3,7_ingest_neo4j.py,217-246,"Implement create_concept_nodes() — create :Concept nodes and link :LegalDoc nodes via keyword matching"
2.17,KG Creation,M3,7_ingest_neo4j.py,253-295,"Implement verify_graph() — run Cypher queries to print node/edge counts, relationship distribution, orphan detection"
2.18,KG Creation,M3,7_ingest_neo4j.py,302-351,"Implement ingest_graph_edges() — create deterministic structural edges from corpus graph_edges metadata"
2.19,KG Creation,M3,7_ingest_neo4j.py,358-394,"Implement main() — orchestrate full ingestion pipeline: load → ingest → concepts → graph_edges → verify"
3.1,Multi-Agent Framework,M1,8_build_index.py,1-30,"Script setup and config imports"
3.2,Multi-Agent Framework,M1,8_build_index.py,69-104,"Build IndexFlatIP, save index.faiss + id_map.json, sanity check"
3.3,Multi-Agent Framework,M1,utils/mcp_tools.py,1-97,"Define AGENT_TOOL_REGISTRY, _is_write_query() sandbox, and implement mcp_semantic_search() — FAISS vector search tool for Agent 1"
3.4,Multi-Agent Framework,M1,utils/mcp_tools.py,265-311,"Implement mcp_submit_final_answer() — answer validation for Agent 4"
3.5,Multi-Agent Framework,M1,9_multi_agent_graphrag.py,114-178,"Implement Agent 1 (Retriever) — run_agent1_retriever(): Generates semantic queries for FAISS"
3.6,Multi-Agent Framework,M1,9_multi_agent_graphrag.py,416-480,"Implement Agent 4 (Senior Counsel) — run_agent4_counsel(): Synthesises final answer with citations"
3.7,Multi-Agent Framework,M2,8_build_index.py,31-68,"Corpus loading, SentenceTransformer encoding"
3.8,Multi-Agent Framework,M2,9_multi_agent_graphrag.py,1-59,"Imports, globals, model config for multi-agent"
3.9,Multi-Agent Framework,M2,9_multi_agent_graphrag.py,60-113,"Implement _init() and _llm_call() — lazy loader + OpenRouter client"
3.10,Multi-Agent Framework,M2,9_multi_agent_graphrag.py,487-515,"Implement run_pipeline() — chain all 4 agents"
3.11,Multi-Agent Framework,M2,9_multi_agent_graphrag.py,516-535,"Implement main() + test questions"
3.12,Multi-Agent Framework,M2,10_evaluate.py,1-29,"Eval setup, Phoenix tracer"
3.13,Multi-Agent Framework,M2,10_evaluate.py,30-62,"Design TEST_QUESTIONS — 5 test cases with expected actions"
3.14,Multi-Agent Framework,M2,10_evaluate.py,64-120,"Implement evaluate() scoring loop — has_answer, has_grounding, actions_found"
3.15,Multi-Agent Framework,M2,10_evaluate.py,121-148,"Summary stats and results output"
3.16,Multi-Agent Framework,M3,utils/mcp_tools.py,104-188,"Implement mcp_get_schema(), mcp_search_nodes_by_title(), mcp_execute_cypher(), mcp_get_node_subgraph() — tools for Agent 2"
3.17,Multi-Agent Framework,M3,utils/mcp_tools.py,191-258,"Implement mcp_find_relationships(), mcp_find_case_interpretations(), mcp_find_amendments_timeline() — graph traversal tools for Agent 2"
3.18,Multi-Agent Framework,M3,utils/mcp_tools.py,288-311,"Implement mcp_read_document_text() — corpus text retrieval for Agent 3"
3.19,Multi-Agent Framework,M3,9_multi_agent_graphrag.py,180-357,"Implement Agent 2 (Graph Engineer) — _parse_agent2_action() and run_agent2_graph_engineer()"
3.20,Multi-Agent Framework,M3,9_multi_agent_graphrag.py,358-415,"Implement Agent 3 (Context Aggregator) — run_agent3_aggregator()"
